"Element","Year","Brazil","China, mainland","France","Germany","India","Indonesia","Italy","Japan","Nigeria","United Kingdom","United States of America"
"Feed","1961",54885,55527,43989,94680,15224,1060,21734,15095,9362,27747,234413
"Feed","1962",66116,64160,47519,105951,15864,1148,23107,16612,9616,34308,228541
"Feed","1963",72494,76879,50519,106370,15510,1096,26661,16825,10242,31915,223570
"Feed","1964",69887,86231,48669,108207,15266,1304,25862,19325,10548,33351,218512
"Feed","1965",63808,90948,50269,109418,16154,1377,27746,19136,11185,35187,248636
"Feed","1966",74368,108071,49594,112205,15080,1190,28958,21439,11097,31344,246540
"Feed","1967",68890,113656,51627,112647,15184,1164,30144,22397,11696,34106,248463
"Feed","1968",87043,110926,48153,114004,15955,1366,31606,25249,12245,36430,266374
"Feed","1969",78968,111362,49881,111579,15687,1330,32118,26613,13575,36083,278909
"Feed","1970",69156,132685,45048,106221,16486,1388,31784,28565,15340,34186,272464
"Feed","1971",68378,133362,46503,105711,17779,1401,30636,28878,13428,35927,295939
"Feed","1972",67397,124982,51276,107799,16034,1154,32958,31982,11780,36496,304629
"Feed","1973",65846,161557,51562,104507,15876,1614,32706,33624,12234,32982,291120
"Feed","1974",66634,164685,50652,102809,16271,1646,28498,32309,13119,31726,218012
"Feed","1975",78112,170022,53377,100690,17879,1491,29928,31172,14095,29434,242520
"Feed","1976",70662,168536,52116,98058,18043,1514,31169,32458,13124,31521,239408
"Feed","1977",63165,182494,51401,100858,18485,1556,30459,38804,12518,32328,254690
"Feed","1978",72336,204477,60150,103308,21253,1726,34224,39134,12697,34837,287239
"Feed","1979",75099,213771,57267,105061,20090,1788,34836,41939,12643,33149,295581
"Feed","1980",77389,221850,57172,103207,18340,2135,32964,42598,12656,30211,264394
"Feed","1981",77793,206077,56643,98951,20115,2746,31206,41461,12448,28869,276533
"Feed","1982",69807,218652,60758,100596,20084,2564,28343,41361,13228,35551,303364
"Feed","1983",54857,255648,54980,94661,20934,2884,30652,43292,11843,32025,272937
"Feed","1984",59727,265558,57008,103171,21161,2967,34089,46037,13414,31979,297278
"Feed","1985",73152,243193,59908,105154,20829,2922,30705,45523,14316,29556,300498
"Feed","1986",72544,243618,56652,102766,21164,3128,31017,49216,16029,30986,322388
"Feed","1987",82215,260371,59494,94599,21277,3217,31987,49484,17602,30685,322779
"Feed","1988",80618,263283,58238,86998,23453,3286,29612,49453,20731,30169,257678
"Feed","1989",85305,271373,55939,84736,25401,3478,29443,47409,22405,28813,286012
"Feed","1990",81171,257502,55901,76050,30776,4380,28795,47354,25612,28473,312795
"Feed","1991",82250,273582,59274,53645,33285,4424,31309,46775,31631,26335,307183
"Feed","1992",93013,300303,52057,49462,35301,4902,31235,46201,35245,28445,330817
"Feed","1993",87370,342570,59220,54197,37022,5302,32042,45580,37074,28449,306820
"Feed","1994",94109,360752,59549,51908,39220,6979,30059,43161,38916,30105,349989
"Feed","1995",96046,383464,54421,53611,42493,9228,32371,43754,39497,27169,289208
"Feed","1996",82575,422540,57110,53214,44064,6447,35355,41244,39121,27999,340965
"Feed","1997",81104,399282,58657,52507,44947,6098,33716,42338,39708,28729,335415
"Feed","1998",80273,408836,58897,54528,47295,5056,34485,39468,40562,27281,338833
"Feed","1999",81884,423853,58332,50229,50498,9264,37066,39567,41271,28326,344462
"Feed","2000",96094,443515,60200,56329,54525,11303,37428,38151,40337,28845,351381
"Feed","2001",91853,448799,61821,54170,58423,11671,33347,37970,40341,31195,345227
"Feed","2002",86338,455236,61093,56397,58639,12640,34868,39488,54119,29692,318474
"Feed","2003",85753,438649,50825,49827,64443,12207,31520,38318,57634,28181,337601
"Feed","2004",94106,435786,58851,57117,65541,11615,38546,37847,62278,27350,362504
"Feed","2005",95399,438436,57305,58776,65504,12776,36167,37428,67046,26785,353682
"Feed","2006",104356,420360,52827,57114,70401,13103,33108,38492,74361,26024,318577
"Feed","2007",107895,439930,52158,53863,76472,13880,33977,36663,67441,25512,328510
"Feed","2008",132804,470265,57784,61591,78947,13930,31974,35949,70773,25330,308173
"Feed","2009",114668,518941,51327,60964,77530,14493,27257,37513,59455,26514,299399
"Feed","2010",115429,556280,46661,52945,87807,15969,29317,36100,67222,26554,280892
"Feed","2011",121540,616617,47366,52956,92304,18114,31435,34664,77662,23694,267300
"Feed","2012",124223,653665,44815,56012,94298,18110,32057,34991,76333,24614,267493
"Feed","2013",127479,691903,45537,60418,98258,19062,32287,34952,72046,27033,296863
